space	chr	prev_start	prev_end	prev_checksum	start	end	checksum	type
query	chr1H	1071339	1073377	50b00155b33608c840b9bd040f1b1c1a	1072654	1078169	4755f05d8656439c63e33d5cbd271183	PARTIAL
query	chr1H	1072654	1078169	4755f05d8656439c63e33d5cbd271183	1073378	1104753	e0b32888cb9e4dc64ad7ce7021b25717	PARTIAL
query	chr1H	1073378	1104753	e0b32888cb9e4dc64ad7ce7021b25717	1078170	1276511	8261611a362e445107113458f3f80878	PARTIAL
query	chr1H	1078170	1276511	8261611a362e445107113458f3f80878	1104754	1107593	b8fd8d08f6629a38d73051f8bc2a61de	NESTED_IN_PREV
query	chr1H	1287713	1585390	852cfe0b782a19840576a5f341ea2116	1425588	1468777	478bc0c25a7a86ad7c93f54697934070	NESTED_IN_PREV
query	chr1H	1548114	2649731	1c844053fd901756a451fc8abeeaecfc	1585390	1941736	8f5513b8c1cb213a8265b9f9fa05677c	NESTED_IN_PREV
query	chr1H	1585390	1941736	8f5513b8c1cb213a8265b9f9fa05677c	1641581	1643723	1dd9478f2c08d206ce2eee89b44a08db	NESTED_IN_PREV
query	chr1H	1646712	1678320	94a58333b40be8871ebc657519c65657	1670299	1671404	22c7ff5a1395e4c088d30ecd4276bfc3	NESTED_IN_PREV
query	chr1H	2189011	3777577	20b30183200fc8df1b8d244677059fe6	2285074	2288438	88761e30a77113430ae6381d619ddf1d	NESTED_IN_PREV
query	chr1H	2625125	2658715	e490ae4a30d30268533887644f04ccf3	2656300	2659303	be7bd09f45bc2c7af6558e51aa9625b0	PARTIAL
query	chr1H	3168998	3330325	9739d512b5ea872579e5cf1ce408dad6	3271078	3393498	147f70993b82bb22b9bb418b81ece320	PARTIAL
query	chr1H	3580708	3589029	a33cac7e06999a5e14c9b64b8e665e03	3581334	3594940	312b44de7ee4392d1872cb7bed1ee5e7	PARTIAL
query	chr1H	3581334	3594940	312b44de7ee4392d1872cb7bed1ee5e7	3589030	3599769	47b7c6eed3dd2b78ade3e6e016915e8e	PARTIAL
